# left_edge,right_edge,count; x_origin=0; unit=
36914,10995150747.059999,59774
10995150747.059999,21990264580.119999,62556
21990264580.119999,32985378413.18,60461
32985378413.18,43980492246.239998,63211
43980492246.239998,54975606079.299995,59686
54975606079.299995,65970719912.360001,61614
65970719912.360001,76965833745.419998,62000
76965833745.419998,87960947578.479996,61388
87960947578.479996,98956061411.539993,62291
98956061411.539993,109951175244.59999,59220
109951175244.59999,120946289077.65999,60201
120946289077.65999,131941402910.72,63447
131941402910.72,142936516743.78,51769
142936516743.78,153931630576.84,37723
153931630576.84,164926744409.89999,40833
164926744409.89999,175921858242.95999,40884
175921858242.95999,186916972076.01999,41701
186916972076.01999,197912085909.07999,40580
197912085909.07999,208907199742.13998,40862
208907199742.13998,219902313575.19998,41624
219902313575.19998,230897427408.25998,40185
230897427408.25998,241892541241.31998,40224
241892541241.31998,252887655074.37997,41966
252887655074.37997,263882768907.44,41542
263882768907.44,274877882740.5,42018
274877882740.5,285872996573.56,41509
285872996573.56,296868110406.62,26743
296868110406.62,307863224239.67999,22051
307863224239.67999,318858338072.73999,19332
318858338072.73999,329853451905.79999,22535
329853451905.79999,340848565738.85999,21994
340848565738.85999,351843679571.91998,20136
351843679571.91998,362838793404.97998,22790
362838793404.97998,373833907238.03998,20784
373833907238.03998,384829021071.09998,21553
384829021071.09998,395824134904.15997,30826
395824134904.15997,406819248737.21997,38139
406819248737.21997,417814362570.27997,41431
417814362570.27997,428809476403.33997,43722
428809476403.33997,439804590236.39996,41181
439804590236.39996,450799704069.45996,41153
450799704069.45996,461794817902.51996,42711
461794817902.51996,472789931735.57996,41161
472789931735.57996,483785045568.63995,41071
483785045568.63995,494780159401.69995,41816
494780159401.69995,505775273234.75995,39477
505775273234.75995,516770387067.81995,42406
516770387067.81995,527765500900.88,41181
527765500900.88,538760614733.94,41560
538760614733.94,549755728567,41844
549755728567,560750842400.05994,40599
560750842400.05994,571745956233.12,40536
571745956233.12,582741070066.17993,42298
582741070066.17993,593736183899.23999,39129
593736183899.23999,604731297732.29993,41310
604731297732.29993,615726411565.35999,39666
615726411565.35999,626721525398.41992,42246
626721525398.41992,637716639231.47998,42038
637716639231.47998,648711753064.53992,41863
648711753064.53992,659706866897.59998,42488
659706866897.59998,670701980730.65991,43150
670701980730.65991,681697094563.71997,41418
681697094563.71997,692692208396.77991,41636
692692208396.77991,703687322229.83997,42893
703687322229.83997,714682436062.90002,41996
714682436062.90002,725677549895.95996,39330
725677549895.95996,736672663729.02002,42347
736672663729.02002,747667777562.07996,42345
747667777562.07996,758662891395.14001,42983
758662891395.14001,769658005228.19995,42197
769658005228.19995,780653119061.26001,42777
780653119061.26001,791648232894.31995,42410
791648232894.31995,802643346727.38,40853
802643346727.38,813638460560.43994,41074
813638460560.43994,824633574393.5,40328
824633574393.5,835628688226.55994,41990
835628688226.55994,846623802059.62,41856
846623802059.62,857618915892.67993,42434
857618915892.67993,868614029725.73999,42536
868614029725.73999,879609143558.79993,42104
879609143558.79993,890604257391.85999,41974
890604257391.85999,901599371224.91992,42385
901599371224.91992,912594485057.97998,43183
912594485057.97998,923589598891.03992,41207
923589598891.03992,934584712724.09998,41787
934584712724.09998,945579826557.15991,42975
945579826557.15991,956574940390.21997,41807
956574940390.21997,967570054223.27991,41229
967570054223.27991,978565168056.33997,41745
978565168056.33997,989560281889.3999,41459
989560281889.3999,1000555395722.46,42578
1000555395722.46,1011550509555.5199,41180
1011550509555.5199,1022545623388.58,42186
1022545623388.58,1033540737221.6399,43201
1033540737221.6399,1044535851054.7,42237
1044535851054.7,1055530964887.76,41567
1055530964887.76,1066526078720.8199,43294
1066526078720.8199,1077521192553.88,41885
1077521192553.88,1088516306386.9399,41635
1088516306386.9399,1099511420220,41943
