# left_edge,right_edge,count; x_origin=302395224062; unit=ps (stored)
0,412193129889178.19,75723
412193129889178.19,824386259778356.38,75240
824386259778356.38,1236579389667534.5,74241
1236579389667534.5,1648772519556712.8,74721
1648772519556712.8,2060965649445891,76457
2060965649445891,2473158779335069,75774
2473158779335069,2885351909224247.5,77660
2885351909224247.5,3297545039113425.5,331
3297545039113425.5,3709738169002603.5,220
3709738169002603.5,4121931298891782,39654
4121931298891782,4534124428780960,75272
4534124428780960,4946317558670138,76385
4946317558670138,5358510688559316,76235
5358510688559316,5770703818448495,74024
5770703818448495,6182896948337673,70707
6182896948337673,6595090078226851,73694
6595090078226851,7007283208116029,76236
7007283208116029,7419476338005207,73770
7419476338005207,7831669467894386,75882
7831669467894386,8243862597783564,76315
8243862597783564,8656055727672742,75610
8656055727672742,9068248857561920,76265
9068248857561920,9480441987451098,76577
9480441987451098,9892635117340276,73111
9892635117340276,10304828247229454,76048
10304828247229454,10717021377118632,77555
10717021377118632,11129214507007812,71174
11129214507007812,11541407636896990,77253
11541407636896990,11953600766786168,75707
11953600766786168,12365793896675346,72633
12365793896675346,12777987026564524,76154
12777987026564524,13190180156453702,74051
13190180156453702,13602373286342880,77833
13602373286342880,14014566416232058,78415
14014566416232058,14426759546121236,77564
14426759546121236,14838952676010414,80315
14838952676010414,15251145805899592,75333
15251145805899592,15663338935788772,78984
15663338935788772,16075532065677950,77490
16075532065677950,16487725195567128,77137
16487725195567128,16899918325456306,80262
16899918325456306,17312111455345484,81496
17312111455345484,17724304585234662,79653
17724304585234662,18136497715123840,81658
18136497715123840,18548690845013020,79970
18548690845013020,18960883974902196,80432
18960883974902196,19373077104791376,78646
19373077104791376,19785270234680552,79687
19785270234680552,20197463364569732,82166
20197463364569732,20609656494458908,81728
20609656494458908,21021849624348088,79978
21021849624348088,21434042754237264,83184
21434042754237264,21846235884126444,80142
21846235884126444,22258429014015624,80102
22258429014015624,22670622143904800,79071
22670622143904800,23082815273793980,78309
23082815273793980,23495008403683156,56304
23495008403683156,23907201533572336,605
23907201533572336,24319394663461512,457
24319394663461512,24731587793350692,485
24731587793350692,25143780923239868,612
25143780923239868,25555974053129048,654
25555974053129048,25968167183018224,611
25968167183018224,26380360312907404,738
26380360312907404,26792553442796584,519
26792553442796584,27204746572685760,611
27204746572685760,27616939702574940,654
27616939702574940,28029132832464116,628
28029132832464116,28441325962353296,610
28441325962353296,28853519092242472,1118
28853519092242472,29265712222131652,842
29265712222131652,29677905352020828,835
29677905352020828,30090098481910008,687
30090098481910008,30502291611799184,543
30502291611799184,30914484741688364,988
30914484741688364,31326677871577544,1002
31326677871577544,31738871001466720,807
31738871001466720,32151064131355900,723
32151064131355900,32563257261245076,844
32563257261245076,32975450391134256,859
32975450391134256,33387643521023432,1186
33387643521023432,33799836650912612,861
33799836650912612,34212029780801788,825
34212029780801788,34624222910690968,643
34624222910690968,35036416040580144,778
35036416040580144,35448609170469324,616
35448609170469324,35860802300358504,571
35860802300358504,36272995430247680,680
36272995430247680,36685188560136856,556
36685188560136856,37097381690026040,804
37097381690026040,37509574819915216,882
37509574819915216,37921767949804392,875
37921767949804392,38333961079693568,768
38333961079693568,38746154209582752,644
38746154209582752,39158347339471928,926
39158347339471928,39570540469361104,1057
39570540469361104,39982733599250288,1004
39982733599250288,40394926729139464,973
40394926729139464,40807119859028640,752
40807119859028640,41219312988917816,782
