# left_edge,right_edge,count; x_origin=0; unit=
0,42191.519999999997,42192
42191.519999999997,84383.039999999994,42192
84383.039999999994,126574.56,42191
126574.56,168766.07999999999,42192
168766.07999999999,210957.59999999998,42191
210957.59999999998,253149.12,42192
253149.12,295340.63999999996,42191
295340.63999999996,337532.15999999997,42192
337532.15999999997,379723.67999999999,42191
379723.67999999999,421915.19999999995,42192
421915.19999999995,464106.71999999997,42191
464106.71999999997,506298.23999999999,42192
506298.23999999999,548489.76000000001,42191
548489.76000000001,590681.27999999991,42192
590681.27999999991,632872.79999999993,42191
632872.79999999993,675064.31999999995,42192
675064.31999999995,717255.83999999997,42191
717255.83999999997,759447.35999999999,42192
759447.35999999999,801638.87999999989,42191
801638.87999999989,843830.39999999991,42192
843830.39999999991,886021.91999999993,42191
886021.91999999993,928213.43999999994,42192
928213.43999999994,970404.95999999996,42191
970404.95999999996,1012596.48,42192
1012596.48,1054788,42191
1054788,1096979.52,42192
1096979.52,1139171.0399999998,42192
1139171.0399999998,1181362.5599999998,42191
1181362.5599999998,1223554.0799999998,42192
1223554.0799999998,1265745.5999999999,42191
1265745.5999999999,1307937.1199999999,42192
1307937.1199999999,1350128.6399999999,42191
1350128.6399999999,1392320.1599999999,42192
1392320.1599999999,1434511.6799999999,42191
1434511.6799999999,1476703.2,42192
1476703.2,1518894.72,42191
1518894.72,1561086.24,42192
1561086.24,1603277.7599999998,42191
1603277.7599999998,1645469.2799999998,42192
1645469.2799999998,1687660.7999999998,42191
1687660.7999999998,1729852.3199999998,42192
1729852.3199999998,1772043.8399999999,42191
1772043.8399999999,1814235.3599999999,42192
1814235.3599999999,1856426.8799999999,42191
1856426.8799999999,1898618.3999999999,42192
1898618.3999999999,1940809.9199999999,42191
1940809.9199999999,1983001.4399999999,42192
1983001.4399999999,2025192.96,42191
2025192.96,2067384.4799999997,42192
2067384.4799999997,2109576,42191
2109576,2151767.52,42192
2151767.52,2193959.04,42192
2193959.04,2236150.5600000001,42191
2236150.5600000001,2278342.0799999996,42192
2278342.0799999996,2320533.5999999996,42191
2320533.5999999996,2362725.1199999996,42192
2362725.1199999996,2404916.6399999997,42191
2404916.6399999997,2447108.1599999997,42192
2447108.1599999997,2489299.6799999997,42191
2489299.6799999997,2531491.1999999997,42192
2531491.1999999997,2573682.7199999997,42191
2573682.7199999997,2615874.2399999998,42192
2615874.2399999998,2658065.7599999998,42191
2658065.7599999998,2700257.2799999998,42192
2700257.2799999998,2742448.7999999998,42191
2742448.7999999998,2784640.3199999998,42192
2784640.3199999998,2826831.8399999999,42191
2826831.8399999999,2869023.3599999999,42192
2869023.3599999999,2911214.8799999999,42191
2911214.8799999999,2953406.3999999999,42192
2953406.3999999999,2995597.9199999999,42191
2995597.9199999999,3037789.4399999999,42192
3037789.4399999999,3079980.96,42191
3079980.96,3122172.48,42192
3122172.48,3164363.9999999995,42191
3164363.9999999995,3206555.5199999996,42192
3206555.5199999996,3248747.0399999996,42192
3248747.0399999996,3290938.5599999996,42191
3290938.5599999996,3333130.0799999996,42192
3333130.0799999996,3375321.5999999996,42191
3375321.5999999996,3417513.1199999996,42192
3417513.1199999996,3459704.6399999997,42191
3459704.6399999997,3501896.1599999997,42192
3501896.1599999997,3544087.6799999997,42191
3544087.6799999997,3586279.1999999997,42192
3586279.1999999997,3628470.7199999997,42191
3628470.7199999997,3670662.2399999998,42192
3670662.2399999998,3712853.7599999998,42191
3712853.7599999998,3755045.2799999998,42192
3755045.2799999998,3797236.7999999998,42191
3797236.7999999998,3839428.3199999998,42192
3839428.3199999998,3881619.8399999999,42191
3881619.8399999999,3923811.3599999999,42192
3923811.3599999999,3966002.8799999999,42191
3966002.8799999999,4008194.3999999999,42192
4008194.3999999999,4050385.9199999999,42191
4050385.9199999999,4092577.4399999995,42192
4092577.4399999995,4134768.9599999995,42191
4134768.9599999995,4176960.4799999995,42192
4176960.4799999995,4219152,42192
