# left_edge,right_edge,count; x_origin=0; unit=ns
368569.0625,109951506899.71249,59774
109951506899.71249,219902645230.36249,62556
219902645230.36249,329853783561.01245,60461
329853783561.01245,439804921891.66248,63211
439804921891.66248,549756060222.3125,59686
549756060222.3125,659707198552.9624,61614
659707198552.9624,769658336883.61243,62000
769658336883.61243,879609475214.26245,61388
879609475214.26245,989560613544.91248,62291
989560613544.91248,1099511751875.5625,59220
1099511751875.5625,1209462890206.2124,60201
1209462890206.2124,1319414028536.8623,63447
1319414028536.8623,1429365166867.5125,51769
1429365166867.5125,1539316305198.1624,37723
1539316305198.1624,1649267443528.8125,40833
1649267443528.8125,1759218581859.4624,40884
1759218581859.4624,1869169720190.1123,41701
1869169720190.1123,1979120858520.7625,40580
1979120858520.7625,2089071996851.4124,40862
2089071996851.4124,2199023135182.0625,41624
2199023135182.0625,2308974273512.7124,40185
2308974273512.7124,2418925411843.3623,40224
2418925411843.3623,2528876550174.0122,41966
2528876550174.0122,2638827688504.6621,41542
2638827688504.6621,2748778826835.3125,42018
2748778826835.3125,2858729965165.9624,41509
2858729965165.9624,2968681103496.6123,26743
2968681103496.6123,3078632241827.2622,22051
3078632241827.2622,3188583380157.9121,19332
3188583380157.9121,3298534518488.5625,22535
3298534518488.5625,3408485656819.2124,21994
3408485656819.2124,3518436795149.8623,20136
3518436795149.8623,3628387933480.5122,22790
3628387933480.5122,3738339071811.1621,20784
3738339071811.1621,3848290210141.8125,21553
3848290210141.8125,3958241348472.4624,30826
3958241348472.4624,4068192486803.1123,38139
4068192486803.1123,4178143625133.7622,41431
4178143625133.7622,4288094763464.4121,43722
4288094763464.4121,4398045901795.0625,41181
4398045901795.0625,4507997040125.7119,41153
4507997040125.7119,4617948178456.3623,42711
4617948178456.3623,4727899316787.0127,41161
4727899316787.0127,4837850455117.6621,41071
4837850455117.6621,4947801593448.3125,41816
4947801593448.3125,5057752731778.9619,39477
5057752731778.9619,5167703870109.6123,42406
5167703870109.6123,5277655008440.2617,41181
5277655008440.2617,5387606146770.9121,41560
5387606146770.9121,5497557285101.5625,41844
5497557285101.5625,5607508423432.2119,40599
5607508423432.2119,5717459561762.8623,40536
5717459561762.8623,5827410700093.5117,42298
5827410700093.5117,5937361838424.1621,39129
5937361838424.1621,6047312976754.8125,41310
6047312976754.8125,6157264115085.4619,39666
6157264115085.4619,6267215253416.1123,42246
6267215253416.1123,6377166391746.7617,42038
6377166391746.7617,6487117530077.4121,41863
6487117530077.4121,6597068668408.0625,42488
6597068668408.0625,6707019806738.7119,43150
6707019806738.7119,6816970945069.3623,41418
6816970945069.3623,6926922083400.0117,41636
6926922083400.0117,7036873221730.6621,42893
7036873221730.6621,7146824360061.3125,41996
7146824360061.3125,7256775498391.9619,39330
7256775498391.9619,7366726636722.6123,42347
7366726636722.6123,7476677775053.2617,42345
7476677775053.2617,7586628913383.9121,42983
7586628913383.9121,7696580051714.5625,42197
7696580051714.5625,7806531190045.2119,42777
7806531190045.2119,7916482328375.8623,42410
7916482328375.8623,8026433466706.5117,40853
8026433466706.5117,8136384605037.1621,41074
8136384605037.1621,8246335743367.8125,40328
8246335743367.8125,8356286881698.4619,41990
8356286881698.4619,8466238020029.1123,41856
8466238020029.1123,8576189158359.7617,42434
8576189158359.7617,8686140296690.4121,42536
8686140296690.4121,8796091435021.0625,42104
8796091435021.0625,8906042573351.7129,41974
8906042573351.7129,9015993711682.3613,42385
9015993711682.3613,9125944850013.0117,43183
9125944850013.0117,9235895988343.6621,41207
9235895988343.6621,9345847126674.3125,41787
9345847126674.3125,9455798265004.9629,42975
9455798265004.9629,9565749403335.6113,41807
9565749403335.6113,9675700541666.2617,41229
9675700541666.2617,9785651679996.9121,41745
9785651679996.9121,9895602818327.5625,41459
9895602818327.5625,10005553956658.213,42578
10005553956658.213,10115505094988.861,41180
10115505094988.861,10225456233319.512,42186
10225456233319.512,10335407371650.162,43201
10335407371650.162,10445358509980.812,42237
10445358509980.812,10555309648311.461,41567
10555309648311.461,10665260786642.111,43294
10665260786642.111,10775211924972.762,41885
10775211924972.762,10885163063303.412,41635
10885163063303.412,10995114201634.062,41943
