# left_edge,right_edge,count; x_origin=0; unit=ns
368570,109951506900.7,59774
109951506900.7,219902645231.39999,62556
219902645231.39999,329853783562.09998,60461
329853783562.09998,439804921892.79999,63211
439804921892.79999,549756060223.5,59686
549756060223.5,659707198554.19995,61614
659707198554.19995,769658336884.90002,62000
769658336884.90002,879609475215.59998,61388
879609475215.59998,989560613546.29993,62291
989560613546.29993,1099511751877,59220
1099511751877,1209462890207.7,60201
1209462890207.7,1319414028538.3999,63447
1319414028538.3999,1429365166869.0999,51769
1429365166869.0999,1539316305199.8,37723
1539316305199.8,1649267443530.5,40833
1649267443530.5,1759218581861.2,40884
1759218581861.2,1869169720191.8999,41701
1869169720191.8999,1979120858522.5999,40580
1979120858522.5999,2089071996853.3,40862
2089071996853.3,2199023135184,41624
2199023135184,2308974273514.6997,40185
2308974273514.6997,2418925411845.3999,40224
2418925411845.3999,2528876550176.1001,41966
2528876550176.1001,2638827688506.7998,41542
2638827688506.7998,2748778826837.5,42018
2748778826837.5,2858729965168.1997,41509
2858729965168.1997,2968681103498.8999,26743
2968681103498.8999,3078632241829.6001,22051
3078632241829.6001,3188583380160.2998,19332
3188583380160.2998,3298534518491,22535
3298534518491,3408485656821.6997,21994
3408485656821.6997,3518436795152.3999,20136
3518436795152.3999,3628387933483.1001,22790
3628387933483.1001,3738339071813.7998,20784
3738339071813.7998,3848290210144.5,21553
3848290210144.5,3958241348475.1997,30826
3958241348475.1997,4068192486805.8999,38139
4068192486805.8999,4178143625136.6001,41431
4178143625136.6001,4288094763467.2998,43722
4288094763467.2998,4398045901798,41181
4398045901798,4507997040128.7002,41153
4507997040128.7002,4617948178459.3994,42711
4617948178459.3994,4727899316790.0996,41161
4727899316790.0996,4837850455120.7998,41071
4837850455120.7998,4947801593451.5,41816
4947801593451.5,5057752731782.2002,39477
5057752731782.2002,5167703870112.8994,42406
5167703870112.8994,5277655008443.5996,41181
5277655008443.5996,5387606146774.2998,41560
5387606146774.2998,5497557285105,41844
5497557285105,5607508423435.7002,40599
5607508423435.7002,5717459561766.3994,40536
5717459561766.3994,5827410700097.0996,42298
5827410700097.0996,5937361838427.7998,39129
5937361838427.7998,6047312976758.5,41310
6047312976758.5,6157264115089.2002,39666
6157264115089.2002,6267215253419.8994,42246
6267215253419.8994,6377166391750.5996,42038
6377166391750.5996,6487117530081.2998,41863
6487117530081.2998,6597068668412,42488
6597068668412,6707019806742.7002,43150
6707019806742.7002,6816970945073.3994,41418
6816970945073.3994,6926922083404.0996,41636
6926922083404.0996,7036873221734.7998,42893
7036873221734.7998,7146824360065.5,41996
7146824360065.5,7256775498396.2002,39330
7256775498396.2002,7366726636726.8994,42347
7366726636726.8994,7476677775057.5996,42345
7476677775057.5996,7586628913388.2998,42983
7586628913388.2998,7696580051719,42197
7696580051719,7806531190049.7002,42777
7806531190049.7002,7916482328380.3994,42410
7916482328380.3994,8026433466711.0996,40853
8026433466711.0996,8136384605041.7998,41074
8136384605041.7998,8246335743372.5,40328
8246335743372.5,8356286881703.2002,41990
8356286881703.2002,8466238020033.8994,41856
8466238020033.8994,8576189158364.5996,42434
8576189158364.5996,8686140296695.2998,42536
8686140296695.2998,8796091435026,42104
8796091435026,8906042573356.6992,41974
8906042573356.6992,9015993711687.4004,42385
9015993711687.4004,9125944850018.0996,43183
9125944850018.0996,9235895988348.7988,41207
9235895988348.7988,9345847126679.5,41787
9345847126679.5,9455798265010.1992,42975
9455798265010.1992,9565749403340.9004,41807
9565749403340.9004,9675700541671.5996,41229
9675700541671.5996,9785651680002.2988,41745
9785651680002.2988,9895602818333,41459
9895602818333,10005553956663.699,42578
10005553956663.699,10115505094994.4,41180
10115505094994.4,10225456233325.1,42186
10225456233325.1,10335407371655.799,43201
10335407371655.799,10445358509986.5,42237
10445358509986.5,10555309648317.199,41567
10555309648317.199,10665260786647.9,43294
10665260786647.9,10775211924978.6,41885
10775211924978.6,10885163063309.299,41635
10885163063309.299,10995114201640,41943
