# left_edge,right_edge,count; x_origin=0; unit=ns
368573.23135048151,109951506903.88274,59774
109951506903.88274,219902645234.53412,62556
219902645234.53412,329853783565.18549,60461
329853783565.18549,439804921895.83685,63211
439804921895.83685,549756060226.48828,59686
549756060226.48828,659707198557.13965,61614
659707198557.13965,769658336887.79102,62000
769658336887.79102,879609475218.44238,61388
879609475218.44238,989560613549.09375,62291
989560613549.09375,1099511751879.7451,59220
1099511751879.7451,1209462890210.3967,60201
1209462890210.3967,1319414028541.0481,63447
1319414028541.0481,1429365166871.6995,51769
1429365166871.6995,1539316305202.3508,37723
1539316305202.3508,1649267443533.0022,40833
1649267443533.0022,1759218581863.6536,40884
1759218581863.6536,1869169720194.3049,41701
1869169720194.3049,1979120858524.9563,40580
1979120858524.9563,2089071996855.6077,40862
2089071996855.6077,2199023135186.259,41624
2199023135186.259,2308974273516.9106,40185
2308974273516.9106,2418925411847.562,40224
2418925411847.562,2528876550178.2134,41966
2528876550178.2134,2638827688508.8647,41542
2638827688508.8647,2748778826839.5161,42018
2748778826839.5161,2858729965170.1675,41509
2858729965170.1675,2968681103500.8188,26743
2968681103500.8188,3078632241831.4702,22051
3078632241831.4702,3188583380162.1216,19332
3188583380162.1216,3298534518492.7729,22535
3298534518492.7729,3408485656823.4243,21994
3408485656823.4243,3518436795154.0757,20136
3518436795154.0757,3628387933484.7271,22790
3628387933484.7271,3738339071815.3784,20784
3738339071815.3784,3848290210146.0298,21553
3848290210146.0298,3958241348476.6812,30826
3958241348476.6812,4068192486807.3325,38139
4068192486807.3325,4178143625137.9839,41431
4178143625137.9839,4288094763468.6353,43722
4288094763468.6353,4398045901799.2866,41181
4398045901799.2866,4507997040129.9385,41153
4507997040129.9385,4617948178460.5898,42711
4617948178460.5898,4727899316791.2412,41161
4727899316791.2412,4837850455121.8926,41071
4837850455121.8926,4947801593452.5439,41816
4947801593452.5439,5057752731783.1953,39477
5057752731783.1953,5167703870113.8467,42406
5167703870113.8467,5277655008444.498,41181
5277655008444.498,5387606146775.1494,41560
5387606146775.1494,5497557285105.8008,41844
5497557285105.8008,5607508423436.4521,40599
5607508423436.4521,5717459561767.1035,40536
5717459561767.1035,5827410700097.7549,42298
5827410700097.7549,5937361838428.4062,39129
5937361838428.4062,6047312976759.0576,41310
6047312976759.0576,6157264115089.709,39666
6157264115089.709,6267215253420.3604,42246
6267215253420.3604,6377166391751.0117,42038
6377166391751.0117,6487117530081.6631,41863
6487117530081.6631,6597068668412.3145,42488
6597068668412.3145,6707019806742.9658,43150
6707019806742.9658,6816970945073.6172,41418
6816970945073.6172,6926922083404.2686,41636
6926922083404.2686,7036873221734.9199,42893
7036873221734.9199,7146824360065.5713,41996
7146824360065.5713,7256775498396.2227,39330
7256775498396.2227,7366726636726.874,42347
7366726636726.874,7476677775057.5254,42345
7476677775057.5254,7586628913388.1768,42983
7586628913388.1768,7696580051718.8281,42197
7696580051718.8281,7806531190049.4795,42777
7806531190049.4795,7916482328380.1309,42410
7916482328380.1309,8026433466710.7822,40853
8026433466710.7822,8136384605041.4336,41074
8136384605041.4336,8246335743372.085,40328
8246335743372.085,8356286881702.7363,41990
8356286881702.7363,8466238020033.3877,41856
8466238020033.3877,8576189158364.0391,42434
8576189158364.0391,8686140296694.6904,42536
8686140296694.6904,8796091435025.3418,42104
8796091435025.3418,8906042573355.9922,41974
8906042573355.9922,9015993711686.6445,42385
9015993711686.6445,9125944850017.2949,43183
9125944850017.2949,9235895988347.9473,41207
9235895988347.9473,9345847126678.5977,41787
9345847126678.5977,9455798265009.25,42975
9455798265009.25,9565749403339.9004,41807
9565749403339.9004,9675700541670.5527,41229
9675700541670.5527,9785651680001.2031,41745
9785651680001.2031,9895602818331.8555,41459
9895602818331.8555,10005553956662.506,42578
10005553956662.506,10115505094993.158,41180
10115505094993.158,10225456233323.809,42186
10225456233323.809,10335407371654.461,43201
10335407371654.461,10445358509985.111,42237
10445358509985.111,10555309648315.764,41567
10555309648315.764,10665260786646.414,43294
10665260786646.414,10775211924977.066,41885
10775211924977.066,10885163063307.717,41635
10885163063307.717,10995114201638.369,41943
