# left_edge,right_edge,count; x_origin=0; unit=
0,655.35000000000002,42286
655.35000000000002,1310.7,42238
1310.7,1966.0500000000002,42514
1966.0500000000002,2621.4000000000001,41953
2621.4000000000001,3276.75,42015
3276.75,3932.1000000000004,42306
3932.1000000000004,4587.4499999999998,42015
4587.4499999999998,5242.8000000000002,42255
5242.8000000000002,5898.1500000000005,42309
5898.1500000000005,6553.5,42526
6553.5,7208.8500000000004,42555
7208.8500000000004,7864.2000000000007,42300
7864.2000000000007,8519.5500000000011,42626
8519.5500000000011,9174.8999999999996,42634
9174.8999999999996,9830.25,41985
9830.25,10485.6,42469
10485.6,11140.950000000001,42331
11140.950000000001,11796.300000000001,42396
11796.300000000001,12451.65,42026
12451.65,13107,42455
13107,13762.35,42030
13762.35,14417.700000000001,42245
14417.700000000001,15073.050000000001,42149
15073.050000000001,15728.400000000001,42085
15728.400000000001,16383.75,42140
16383.75,17039.100000000002,42245
17039.100000000002,17694.450000000001,42413
17694.450000000001,18349.799999999999,42037
18349.799999999999,19005.150000000001,41998
19005.150000000001,19660.5,42109
19660.5,20315.850000000002,42203
20315.850000000002,20971.200000000001,42250
20971.200000000001,21626.549999999999,41821
21626.549999999999,22281.900000000001,42411
22281.900000000001,22937.25,41899
22937.25,23592.600000000002,42077
23592.600000000002,24247.950000000001,42332
24247.950000000001,24903.299999999999,42591
24903.299999999999,25558.650000000001,42421
25558.650000000001,26214,41945
26214,26869.350000000002,42325
26869.350000000002,27524.700000000001,42079
27524.700000000001,28180.049999999999,42412
28180.049999999999,28835.400000000001,42218
28835.400000000001,29490.75,41807
29490.75,30146.100000000002,42225
30146.100000000002,30801.450000000001,42281
30801.450000000001,31456.800000000003,42162
31456.800000000003,32112.150000000001,41838
32112.150000000001,32767.5,42108
32767.5,33422.849999999999,41841
33422.849999999999,34078.200000000004,42188
34078.200000000004,34733.550000000003,42171
34733.550000000003,35388.900000000001,41987
35388.900000000001,36044.25,42153
36044.25,36699.599999999999,42300
36699.599999999999,37354.950000000004,42327
37354.950000000004,38010.300000000003,42029
38010.300000000003,38665.650000000001,41887
38665.650000000001,39321,42253
39321,39976.349999999999,42213
39976.349999999999,40631.700000000004,42142
40631.700000000004,41287.050000000003,42083
41287.050000000003,41942.400000000001,42322
41942.400000000001,42597.75,42476
42597.75,43253.099999999999,42390
43253.099999999999,43908.450000000004,42503
43908.450000000004,44563.800000000003,41948
44563.800000000003,45219.150000000001,41734
45219.150000000001,45874.5,42358
45874.5,46529.849999999999,42136
46529.849999999999,47185.200000000004,41917
47185.200000000004,47840.550000000003,42198
47840.550000000003,48495.900000000001,41834
48495.900000000001,49151.25,41972
49151.25,49806.599999999999,42117
49806.599999999999,50461.950000000004,42485
50461.950000000004,51117.300000000003,42135
51117.300000000003,51772.650000000001,42116
51772.650000000001,52428,42175
52428,53083.349999999999,42272
53083.349999999999,53738.700000000004,42115
53738.700000000004,54394.050000000003,42076
54394.050000000003,55049.400000000001,41996
55049.400000000001,55704.75,42278
55704.75,56360.099999999999,41955
56360.099999999999,57015.450000000004,41973
57015.450000000004,57670.800000000003,42237
57670.800000000003,58326.150000000001,42712
58326.150000000001,58981.5,42096
58981.5,59636.849999999999,42323
59636.849999999999,60292.200000000004,41897
60292.200000000004,60947.550000000003,42127
60947.550000000003,61602.900000000001,41775
61602.900000000001,62258.25,42566
62258.25,62913.600000000006,42083
62913.600000000006,63568.950000000004,42617
63568.950000000004,64224.300000000003,41755
64224.300000000003,64879.650000000001,42563
64879.650000000001,65535,42297
