# left_edge,right_edge,count; x_origin=0; unit=s (stored)
1747516452.5739994,1747516864.7660294,75723
1747516864.7660294,1747517276.9580593,75253
1747517276.9580593,1747517689.1500895,74228
1747517689.1500895,1747518101.3421195,74721
1747518101.3421195,1747518513.5341494,76418
1747518513.5341494,1747518925.7261794,75813
1747518925.7261794,1747519337.9182096,77660
1747519337.9182096,1747519750.1102395,331
1747519750.1102395,1747520162.3022695,220
1747520162.3022695,1747520574.4942994,39655
1747520574.4942994,1747520986.6863296,75271
1747520986.6863296,1747521398.8783596,76385
1747521398.8783596,1747521811.0703895,76201
1747521811.0703895,1747522223.2624195,74058
1747522223.2624195,1747522635.4544497,70707
1747522635.4544497,1747523047.6464796,73694
1747523047.6464796,1747523459.8385096,76236
1747523459.8385096,1747523872.0305395,73786
1747523872.0305395,1747524284.2225697,75866
1747524284.2225697,1747524696.4145997,76315
1747524696.4145997,1747525108.6066296,75568
1747525108.6066296,1747525520.7986596,76307
1747525520.7986596,1747525932.9906898,76577
1747525932.9906898,1747526345.1827197,73111
1747526345.1827197,1747526757.3747497,76048
1747526757.3747497,1747527169.5667796,77505
1747527169.5667796,1747527581.7588096,71224
1747527581.7588096,1747527993.9508398,77253
1747527993.9508398,1747528406.1428697,75692
1747528406.1428697,1747528818.3348997,72648
1747528818.3348997,1747529230.5269296,76154
1747529230.5269296,1747529642.7189598,74051
1747529642.7189598,1747530054.9109898,77833
1747530054.9109898,1747530467.1030197,78368
1747530467.1030197,1747530879.2950497,77611
1747530879.2950497,1747531291.4870799,80315
1747531291.4870799,1747531703.6791098,75241
1747531703.6791098,1747532115.8711398,79076
1747532115.8711398,1747532528.0631697,77490
1747532528.0631697,1747532940.2551999,77137
1747532940.2551999,1747533352.4472299,80262
1747533352.4472299,1747533764.6392598,81173
1747533764.6392598,1747534176.8312898,79976
1747534176.8312898,1747534589.02332,81658
1747534589.02332,1747535001.2153499,79641
1747535001.2153499,1747535413.4073799,80761
1747535413.4073799,1747535825.5994098,78646
1747535825.5994098,1747536237.79144,79687
1747536237.79144,1747536649.98347,82166
1747536649.98347,1747537062.1754999,81710
1747537062.1754999,1747537474.3675299,79996
1747537474.3675299,1747537886.5595598,83184
1747537886.5595598,1747538298.75159,79998
1747538298.75159,1747538710.94362,80246
1747538710.94362,1747539123.1356499,79071
1747539123.1356499,1747539535.3276799,78309
1747539535.3276799,1747539947.5197101,56304
1747539947.5197101,1747540359.71174,605
1747540359.71174,1747540771.90377,457
1747540771.90377,1747541184.0957999,485
1747541184.0957999,1747541596.2878301,612
1747541596.2878301,1747542008.4798601,654
1747542008.4798601,1747542420.67189,611
1747542420.67189,1747542832.86392,738
1747542832.86392,1747543245.0559502,519
1747543245.0559502,1747543657.2479801,611
1747543657.2479801,1747544069.4400101,654
1747544069.4400101,1747544481.63204,628
1747544481.63204,1747544893.8240702,610
1747544893.8240702,1747545306.0161002,1118
1747545306.0161002,1747545718.2081301,842
1747545718.2081301,1747546130.4001601,835
1747546130.4001601,1747546542.5921903,688
1747546542.5921903,1747546954.7842202,542
1747546954.7842202,1747547366.9762502,988
1747547366.9762502,1747547779.1682801,1002
1747547779.1682801,1747548191.3603101,807
1747548191.3603101,1747548603.5523403,723
1747548603.5523403,1747549015.7443702,844
1747549015.7443702,1747549427.9364002,859
1747549427.9364002,1747549840.1284301,1186
1747549840.1284301,1747550252.3204603,861
1747550252.3204603,1747550664.5124903,825
1747550664.5124903,1747551076.7045202,643
1747551076.7045202,1747551488.8965502,778
1747551488.8965502,1747551901.0885804,616
1747551901.0885804,1747552313.2806103,571
1747552313.2806103,1747552725.4726403,680
1747552725.4726403,1747553137.6646702,556
1747553137.6646702,1747553549.8567004,804
1747553549.8567004,1747553962.0487304,882
1747553962.0487304,1747554374.2407603,875
1747554374.2407603,1747554786.4327903,768
1747554786.4327903,1747555198.6248205,644
1747555198.6248205,1747555610.8168504,926
1747555610.8168504,1747556023.0088804,1057
1747556023.0088804,1747556435.2009103,1004
1747556435.2009103,1747556847.3929405,973
1747556847.3929405,1747557259.5849705,752
1747557259.5849705,1747557671.7770004,782
